Sector,PolicyInstrument,Policy[Country],2000,2005,2010,2015,2020
BuildingsSector,AnyPolicyInstrument,Argentina,0.012353761000000001,0.012353761000000001,0.012353761000000001,0.012353761000000001,0.012353761000000003
BuildingsSector,AnyPolicyInstrument,Australia,0.016607505,0.016607505,0.016607504999999998,0.016607504999999998,0.016607505000000005
BuildingsSector,AnyPolicyInstrument,Brazil,0.039220987,0.039220987,0.039220987,0.039220987,0.03922098699999999
BuildingsSector,AnyPolicyInstrument,Canada,0.022414787999999998,0.022414788,0.022414787999999995,0.022414787999999995,0.022414788000000005
BuildingsSector,AnyPolicyInstrument,China,0.32227831100000004,0.32227831100000004,0.322278311,0.322278311,0.32227831099999993
BuildingsSector,AnyPolicyInstrument,European Union (28),0.10242006199999999,0.10242006199999999,0.102420062,0.10242006199999999,0.10242006199999999
BuildingsSector,AnyPolicyInstrument,India,0.09054632300000001,0.09054632300000001,0.090546323,0.09054632300000001,0.09054632300000004
BuildingsSector,AnyPolicyInstrument,Indonesia,,0.05736539300000001,0.057365393,0.057365392999999994,0.057365393
BuildingsSector,AnyPolicyInstrument,Japan,0.035390569,0.03539056899999999,0.03539056899999999,0.03539056899999999,0.03539056899999999
BuildingsSector,AnyPolicyInstrument,Korea (South),0.017107928999999997,0.017107928999999997,0.017107928999999997,0.017107928999999997,0.017107929
BuildingsSector,AnyPolicyInstrument,Mexico,0.020242654,0.020242654,0.020242654,0.02024265400000001,0.020242654000000016
BuildingsSector,AnyPolicyInstrument,Russian Federation,0.057211994,0.05721199400000001,0.057211993999999995,0.057211994,0.057211993999999995
BuildingsSector,AnyPolicyInstrument,Saudi Arabia,,,0.017777882,0.017777882,0.017777882
BuildingsSector,AnyPolicyInstrument,South Africa,0.014481323,0.014481322999999999,0.014481323000000003,0.014481322999999999,0.014481322999999997
BuildingsSector,AnyPolicyInstrument,Turkey,0.014369586,0.014369585999999998,0.014369586000000002,0.014369586,0.014369586
BuildingsSector,AnyPolicyInstrument,United States of America,0.160210934,0.16021093400000005,0.1602109340000001,0.16021093400000014,0.16021093400000014
BuildingsSector,CodesStandards,Argentina,0.012353761000000001,0.012353761000000001,0.012353761000000001,0.012353761000000001,0.012353761
BuildingsSector,CodesStandards,Australia,0.016607505,0.016607505,0.016607504999999998,0.016607504999999998,0.016607504999999998
BuildingsSector,CodesStandards,Brazil,,0.039220987,0.039220987,0.039220987,0.039220987
BuildingsSector,CodesStandards,Canada,,,0.022414787999999998,0.022414787999999998,0.022414787999999995
BuildingsSector,CodesStandards,China,0.32227831100000004,0.32227831100000004,0.3222783110000001,0.3222783110000001,0.32227831100000004
BuildingsSector,CodesStandards,European Union (28),0.10242006199999999,0.10242006199999999,0.10242006199999999,0.102420062,0.10242006199999999
BuildingsSector,CodesStandards,India,0.09054632300000001,0.09054632300000001,0.090546323,0.090546323,0.090546323
BuildingsSector,CodesStandards,Indonesia,,0.057365393,0.057365393,0.057365393,0.057365392999999994
BuildingsSector,CodesStandards,Japan,0.035390569,0.035390569,0.035390569,0.03539056899999999,0.03539056899999999
BuildingsSector,CodesStandards,Korea (South),0.017107928999999997,0.017107928999999997,0.017107928999999997,0.017107928999999997,0.017107928999999997
BuildingsSector,CodesStandards,Mexico,,0.020242654,0.020242654,0.020242654000000002,0.02024265400000001
BuildingsSector,CodesStandards,Russian Federation,0.057211994,0.05721199400000001,0.057211994,0.057211993999999995,0.057211993999999995
BuildingsSector,CodesStandards,Saudi Arabia,,,0.017777882,0.017777882,0.017777882
BuildingsSector,CodesStandards,South Africa,,0.014481323,0.014481323,0.014481323000000003,0.014481323000000003
BuildingsSector,CodesStandards,Turkey,0.014369586,0.014369585999999998,0.014369586000000002,0.014369586000000002,0.014369586000000002
BuildingsSector,CodesStandards,United States of America,0.160210934,0.160210934,0.160210934,0.160210934,0.160210934
BuildingsSector,DirectInvestment,Argentina,,,,,0.012353761000000001
BuildingsSector,DirectInvestment,Australia,,,0.016607505,0.016607505,0.016607505
BuildingsSector,DirectInvestment,Brazil,0.039220987,0.039220987,0.039220987,0.039220987,0.039220987
BuildingsSector,DirectInvestment,Canada,,,0.022414787999999998,0.022414788,0.022414787999999998
BuildingsSector,DirectInvestment,China,,0.32227831100000004,0.32227831100000004,0.32227831100000004,0.32227831100000004
BuildingsSector,DirectInvestment,European Union (28),,,,0.10242006199999999,0.10242006199999999
BuildingsSector,DirectInvestment,India,,,0.09054632300000003,0.09054632300000001,0.090546323
BuildingsSector,DirectInvestment,Indonesia,,,0.057365393,0.057365393,0.057365393
BuildingsSector,DirectInvestment,Japan,,0.035390569,0.035390569,0.035390569,0.035390569
BuildingsSector,DirectInvestment,Korea (South),,,0.017107928999999997,0.017107928999999997,0.017107928999999997
BuildingsSector,DirectInvestment,Mexico,,,,,0.020242654
BuildingsSector,DirectInvestment,South Africa,,,0.014481323,0.014481323,0.014481323
BuildingsSector,DirectInvestment,Turkey,,,0.014369586,0.014369586,0.014369586
BuildingsSector,DirectInvestment,United States of America,0.160210934,0.160210934,0.160210934,0.160210934,0.160210934
BuildingsSector,FiscalorFinancialIncentives,Argentina,,,,,0.012353761000000001
BuildingsSector,FiscalorFinancialIncentives,Australia,,,0.016607505,0.016607505,0.016607504999999998
BuildingsSector,FiscalorFinancialIncentives,Brazil,0.039220987,0.039220987,0.039220987,0.039220987,0.039220987
BuildingsSector,FiscalorFinancialIncentives,Canada,,,0.022414787999999998,0.022414787999999998,0.022414787999999998
BuildingsSector,FiscalorFinancialIncentives,China,,0.32227831100000004,0.32227831100000004,0.32227831100000004,0.32227831100000004
BuildingsSector,FiscalorFinancialIncentives,European Union (28),,0.10242006199999999,0.10242006199999999,0.10242006199999999,0.10242006199999999
BuildingsSector,FiscalorFinancialIncentives,India,,,0.09054632300000001,0.09054632300000003,0.090546323
BuildingsSector,FiscalorFinancialIncentives,Indonesia,,0.057365393,0.057365393,0.057365393,0.057365393
BuildingsSector,FiscalorFinancialIncentives,Japan,,0.035390569,0.035390569,0.03539056899999999,0.03539056899999999
BuildingsSector,FiscalorFinancialIncentives,Korea (South),0.017107928999999997,0.017107928999999997,0.017107928999999997,0.017107928999999997,0.017107928999999997
BuildingsSector,FiscalorFinancialIncentives,Mexico,0.020242654,0.020242654,0.020242654,0.020242654,0.020242654
BuildingsSector,FiscalorFinancialIncentives,Russian Federation,,0.057211994,0.057211994,0.057211994,0.057211993999999995
BuildingsSector,FiscalorFinancialIncentives,Saudi Arabia,,,0.017777882,0.017777882,0.017777882
BuildingsSector,FiscalorFinancialIncentives,South Africa,0.014481323,0.014481323,0.014481323,0.014481323,0.014481323000000003
BuildingsSector,FiscalorFinancialIncentives,Turkey,,,,,0.014369586
BuildingsSector,FiscalorFinancialIncentives,United States of America,0.160210934,0.160210934,0.16021093400000003,0.16021093400000005,0.16021093400000005
BuildingsSector,Market-basedInstruments,Australia,,,,0.016607505,0.016607505
BuildingsSector,Market-basedInstruments,Canada,0.022414787999999998,0.022414787999999998,0.022414787999999998,0.022414787999999998,0.022414787999999998
BuildingsSector,Market-basedInstruments,India,,,0.09054632300000001,0.09054632300000001,0.09054632300000001
BuildingsSector,Market-basedInstruments,Korea (South),,,,0.017107928999999997,0.017107928999999997
BuildingsSector,Market-basedInstruments,Mexico,0.020242654,0.020242654,0.020242654,0.020242654,0.020242654
BuildingsSector,Market-basedInstruments,Russian Federation,,,,0.057211994,0.057211994
BuildingsSector,VoluntaryApproaches,Australia,,0.016607505,0.016607505,0.016607505,0.016607505
BuildingsSector,VoluntaryApproaches,Brazil,0.039220987,0.039220987,0.039220987,0.039220987,0.039220987
BuildingsSector,VoluntaryApproaches,Canada,0.022414787999999998,0.022414787999999998,0.022414788,0.022414788,0.022414788
BuildingsSector,VoluntaryApproaches,India,,,0.09054632300000001,0.09054632300000001,0.09054632300000001
BuildingsSector,VoluntaryApproaches,Japan,0.035390569,0.035390569,0.035390569,0.035390569,0.035390569
BuildingsSector,VoluntaryApproaches,Korea (South),0.017107928999999997,0.017107928999999997,0.017107928999999997,0.017107928999999997,0.017107928999999997
BuildingsSector,VoluntaryApproaches,Russian Federation,,,0.057211994,0.057211994,0.057211994
BuildingsSector,VoluntaryApproaches,South Africa,,,0.014481323,0.014481323,0.014481323
BuildingsSector,VoluntaryApproaches,Turkey,,,0.014369586,0.014369586,0.014369586
BuildingsSector,VoluntaryApproaches,United States of America,0.160210934,0.160210934,0.160210934,0.16021093400000003,0.16021093400000003
ElectricitySector,AnyPolicyInstrument,Argentina,0.012353761000000001,0.012353761000000001,0.012353761000000001,0.012353761000000003,0.012353761000000001
ElectricitySector,AnyPolicyInstrument,Australia,0.016607504999999998,0.016607504999999998,0.01660750500000001,0.01660750500000001,0.016607505000000005
ElectricitySector,AnyPolicyInstrument,Brazil,0.039220987,0.03922098699999999,0.03922098699999999,0.03922098699999999,0.03922098699999999
ElectricitySector,AnyPolicyInstrument,Canada,0.022414787999999995,0.022414787999999995,0.022414787999999998,0.022414788,0.022414788000000005
ElectricitySector,AnyPolicyInstrument,China,,0.32227831100000004,0.32227831099999993,0.3222783109999999,0.3222783109999999
ElectricitySector,AnyPolicyInstrument,European Union (28),0.10242006199999999,0.10242006199999999,0.10242006199999999,0.10242006199999999,0.10242006199999999
ElectricitySector,AnyPolicyInstrument,India,0.09054632300000001,0.09054632300000003,0.09054632300000001,0.09054632300000004,0.09054632300000003
ElectricitySector,AnyPolicyInstrument,Indonesia,,0.057365393,0.057365393,0.057365392999999994,0.057365392999999994
ElectricitySector,AnyPolicyInstrument,Japan,0.03539056899999999,0.03539056899999999,0.03539056899999999,0.03539056899999999,0.03539056899999999
ElectricitySector,AnyPolicyInstrument,Korea (South),0.017107928999999997,0.017107928999999997,0.017107928999999997,0.017107929000000004,0.017107929000000008
ElectricitySector,AnyPolicyInstrument,Mexico,0.020242654,0.020242654,0.020242654,0.020242654000000006,0.02024265400000001
ElectricitySector,AnyPolicyInstrument,Russian Federation,,,0.057211993999999995,0.057211993999999995,0.057211993999999995
ElectricitySector,AnyPolicyInstrument,Saudi Arabia,,,0.017777882,0.017777882,0.017777882
ElectricitySector,AnyPolicyInstrument,South Africa,0.014481323,0.014481323,0.014481323000000003,0.014481323,0.014481323
ElectricitySector,AnyPolicyInstrument,Turkey,,0.014369585999999998,0.014369586000000002,0.014369586000000002,0.014369586
ElectricitySector,AnyPolicyInstrument,United States of America,0.16021093400000008,0.16021093400000014,0.16021093400000014,0.16021093400000014,0.16021093400000014
ElectricitySector,CodesStandards,Australia,0.016607505,0.016607505,0.016607505,0.016607505,0.016607505
ElectricitySector,CodesStandards,Brazil,0.039220987,0.039220987,0.039220987,0.039220987,0.039220987
ElectricitySector,CodesStandards,Canada,0.022414787999999998,0.022414788,0.022414787999999998,0.022414787999999995,0.022414787999999995
ElectricitySector,CodesStandards,China,,,0.32227831100000004,0.32227831100000004,0.322278311
ElectricitySector,CodesStandards,European Union (28),0.10242006199999999,0.10242006199999999,0.10242006199999999,0.10242006199999999,0.10242006199999999
ElectricitySector,CodesStandards,India,0.09054632300000001,0.09054632300000001,0.09054632300000001,0.09054632300000001,0.09054632300000001
ElectricitySector,CodesStandards,Indonesia,,,0.057365393,0.057365393,0.05736539300000001
ElectricitySector,CodesStandards,Japan,0.035390569,0.035390569,0.035390569,0.035390569,0.035390569
ElectricitySector,CodesStandards,Korea (South),0.017107928999999997,0.017107928999999997,0.017107928999999997,0.017107928999999997,0.017107928999999997
ElectricitySector,CodesStandards,Mexico,0.020242654,0.020242654,0.020242654,0.020242654,0.020242654
ElectricitySector,CodesStandards,Russian Federation,,,0.057211994,0.057211994,0.057211994
ElectricitySector,CodesStandards,Saudi Arabia,,,0.017777882,0.017777882,0.017777882
ElectricitySector,CodesStandards,Turkey,,,0.014369585999999998,0.014369585999999998,0.014369585999999998
ElectricitySector,CodesStandards,United States of America,0.160210934,0.160210934,0.16021093400000005,0.16021093400000005,0.16021093400000008
ElectricitySector,DirectInvestment,Argentina,,,0.012353761000000001,0.012353761000000001,0.012353761
ElectricitySector,DirectInvestment,Australia,,,0.016607504999999998,0.016607504999999998,0.016607504999999998
ElectricitySector,DirectInvestment,Brazil,0.039220987,0.039220987,0.039220987,0.039220987,0.039220987
ElectricitySector,DirectInvestment,Canada,0.022414787999999998,0.022414787999999998,0.022414787999999995,0.022414787999999995,0.022414787999999995
ElectricitySector,DirectInvestment,China,,,0.32227831100000004,0.32227831100000004,0.32227831100000004
ElectricitySector,DirectInvestment,European Union (28),,,,0.10242006199999999,0.10242006199999999
ElectricitySector,DirectInvestment,India,,,0.09054632300000003,0.09054632300000001,0.090546323
ElectricitySector,DirectInvestment,Indonesia,,,0.057365393,0.057365393,0.05736539300000001
ElectricitySector,DirectInvestment,Japan,0.035390569,0.035390569,0.035390569,0.035390569,0.035390569
ElectricitySector,DirectInvestment,Korea (South),0.017107928999999997,0.017107928999999997,0.017107928999999997,0.017107928999999997,0.017107928999999997
ElectricitySector,DirectInvestment,Mexico,,,0.020242654,0.020242654,0.020242654
ElectricitySector,DirectInvestment,Russian Federation,,,0.057211994,0.057211994,0.057211994
ElectricitySector,DirectInvestment,South Africa,,0.014481323,0.014481322999999999,0.014481322999999999,0.014481322999999999
ElectricitySector,DirectInvestment,Turkey,,0.014369586,0.014369586,0.014369586,0.014369586
ElectricitySector,DirectInvestment,United States of America,0.160210934,0.160210934,0.160210934,0.160210934,0.160210934
ElectricitySector,FiscalorFinancialIncentives,Argentina,0.012353761000000001,0.012353761000000001,0.012353761000000001,0.012353761000000003,0.012353761000000001
ElectricitySector,FiscalorFinancialIncentives,Australia,0.016607505,0.016607505,0.016607504999999998,0.016607504999999998,0.016607504999999998
ElectricitySector,FiscalorFinancialIncentives,Brazil,0.039220987,0.03922098699999999,0.03922098699999999,0.03922098699999999,0.03922098699999999
ElectricitySector,FiscalorFinancialIncentives,Canada,0.022414787999999998,0.022414787999999998,0.022414787999999998,0.022414787999999995,0.022414787999999995
ElectricitySector,FiscalorFinancialIncentives,China,,0.32227831100000004,0.322278311,0.3222783109999999,0.3222783109999999
ElectricitySector,FiscalorFinancialIncentives,European Union (28),,0.10242006199999999,0.10242006199999999,0.10242006199999999,0.10242006199999999
ElectricitySector,FiscalorFinancialIncentives,India,,0.09054632300000001,0.090546323,0.09054632300000003,0.09054632300000004
ElectricitySector,FiscalorFinancialIncentives,Indonesia,,0.057365393,0.057365392999999994,0.057365392999999994,0.057365392999999994
ElectricitySector,FiscalorFinancialIncentives,Japan,0.035390569,0.035390569,0.035390569,0.03539056899999999,0.03539056899999999
ElectricitySector,FiscalorFinancialIncentives,Korea (South),0.017107928999999997,0.017107928999999997,0.017107928999999997,0.017107928999999997,0.017107928999999997
ElectricitySector,FiscalorFinancialIncentives,Mexico,0.020242654,0.020242654,0.020242654,0.020242654,0.020242654
ElectricitySector,FiscalorFinancialIncentives,Russian Federation,,,0.057211994,0.057211993999999995,0.057211994
ElectricitySector,FiscalorFinancialIncentives,Saudi Arabia,,,0.017777882,0.017777882,0.017777882
ElectricitySector,FiscalorFinancialIncentives,South Africa,0.014481323,0.014481322999999999,0.014481323,0.014481323000000003,0.014481323000000003
ElectricitySector,FiscalorFinancialIncentives,Turkey,,0.014369585999999998,0.014369586,0.014369586,0.014369586000000002
ElectricitySector,FiscalorFinancialIncentives,United States of America,0.16021093400000003,0.16021093400000005,0.1602109340000001,0.16021093400000014,0.16021093400000014
ElectricitySector,Market-basedInstruments,Australia,0.016607505,0.016607505,0.016607505,0.016607505,0.016607505
ElectricitySector,Market-basedInstruments,Brazil,,0.039220987,0.039220987,0.039220987,0.039220987
ElectricitySector,Market-basedInstruments,Canada,,,,,0.022414787999999998
ElectricitySector,Market-basedInstruments,China,,,,,0.32227831100000004
ElectricitySector,Market-basedInstruments,European Union (28),,,,,0.10242006199999999
ElectricitySector,Market-basedInstruments,India,,,0.09054632300000001,0.09054632300000003,0.09054632300000003
ElectricitySector,Market-basedInstruments,Indonesia,,,,,0.057365393
ElectricitySector,Market-basedInstruments,Japan,,0.035390569,0.035390569,0.035390569,0.035390569
ElectricitySector,Market-basedInstruments,Korea (South),,0.017107928999999997,0.017107928999999997,0.017107928999999997,0.017107928999999997
ElectricitySector,Market-basedInstruments,Mexico,0.020242654,0.020242654,0.020242654,0.020242654,0.020242654
ElectricitySector,Market-basedInstruments,South Africa,,,,0.014481323,0.014481323
ElectricitySector,Market-basedInstruments,Turkey,,0.014369586,0.014369586,0.014369586,0.014369586
ElectricitySector,Market-basedInstruments,United States of America,0.160210934,0.160210934,0.160210934,0.160210934,0.160210934
ElectricitySector,VoluntaryApproaches,Australia,0.016607505,0.016607505,0.016607504999999998,0.016607504999999998,0.016607504999999998
ElectricitySector,VoluntaryApproaches,Canada,,,0.022414787999999998,0.022414787999999998,0.022414787999999998
ElectricitySector,VoluntaryApproaches,European Union (28),0.10242006199999999,0.10242006199999999,0.102420062,0.102420062,0.102420062
ElectricitySector,VoluntaryApproaches,Japan,0.035390569,0.035390569,0.035390569,0.035390569,0.035390569
ElectricitySector,VoluntaryApproaches,Korea (South),0.017107928999999997,0.017107928999999997,0.017107928999999997,0.017107928999999997,0.017107928999999997
ElectricitySector,VoluntaryApproaches,South Africa,,0.014481323,0.014481323,0.014481323,0.014481323
ElectricitySector,VoluntaryApproaches,Turkey,,,0.014369586,0.014369586,0.014369586
ElectricitySector,VoluntaryApproaches,United States of America,0.160210934,0.160210934,0.16021093400000005,0.16021093400000005,0.16021093400000005
GeneralSector,AnyPolicyInstrument,Argentina,,,,0.012353761000000001,0.012353761000000001
GeneralSector,AnyPolicyInstrument,Australia,0.016607505,0.016607505,0.016607504999999998,0.016607504999999998,0.016607504999999998
GeneralSector,AnyPolicyInstrument,Brazil,0.039220987,0.03922098699999999,0.03922098699999999,0.03922098699999999,0.03922098699999999
GeneralSector,AnyPolicyInstrument,Canada,0.022414788,0.022414787999999995,0.022414787999999995,0.022414787999999998,0.022414787999999998
GeneralSector,AnyPolicyInstrument,China,,0.32227831100000004,0.32227831100000004,0.32227831100000004,0.32227831100000004
GeneralSector,AnyPolicyInstrument,European Union (28),0.10242006199999999,0.10242006199999999,0.10242006199999999,0.10242006199999999,0.10242006199999999
GeneralSector,AnyPolicyInstrument,India,0.09054632300000001,0.09054632300000001,0.09054632300000003,0.09054632300000003,0.09054632300000003
GeneralSector,AnyPolicyInstrument,Indonesia,,,,0.05736539300000001,0.05736539300000001
GeneralSector,AnyPolicyInstrument,Japan,0.035390569,0.035390569,0.035390569,0.035390569,0.035390569
GeneralSector,AnyPolicyInstrument,Korea (South),0.017107928999999997,0.017107928999999997,0.017107928999999997,0.017107928999999997,0.017107928999999997
GeneralSector,AnyPolicyInstrument,Mexico,,0.020242654,0.020242654,0.020242654,0.020242654
GeneralSector,AnyPolicyInstrument,Russian Federation,,,0.057211994,0.057211994,0.057211994
GeneralSector,AnyPolicyInstrument,South Africa,0.014481323,0.014481322999999999,0.014481323,0.014481323,0.014481323000000003
GeneralSector,AnyPolicyInstrument,Turkey,0.014369586,0.014369586,0.014369586,0.014369586,0.014369586
GeneralSector,AnyPolicyInstrument,United States of America,0.160210934,0.160210934,0.160210934,0.160210934,0.160210934
GeneralSector,CodesStandards,Australia,0.016607505,0.016607505,0.016607505,0.016607505,0.016607505
GeneralSector,CodesStandards,Brazil,0.039220987,0.039220987,0.039220987,0.039220987,0.039220987
GeneralSector,CodesStandards,China,,0.32227831100000004,0.32227831100000004,0.32227831100000004,0.32227831100000004
GeneralSector,CodesStandards,European Union (28),,0.10242006199999999,0.10242006199999999,0.10242006199999999,0.10242006199999999
GeneralSector,CodesStandards,India,0.09054632300000001,0.09054632300000001,0.09054632300000001,0.09054632300000001,0.09054632300000001
GeneralSector,CodesStandards,Indonesia,,,,0.057365393,0.057365393
GeneralSector,CodesStandards,Japan,0.035390569,0.035390569,0.035390569,0.035390569,0.035390569
GeneralSector,CodesStandards,Korea (South),,,0.017107928999999997,0.017107928999999997,0.017107928999999997
GeneralSector,CodesStandards,South Africa,0.014481323,0.014481323,0.014481323,0.014481323,0.014481323
GeneralSector,CodesStandards,Turkey,0.014369586,0.014369586,0.014369586,0.014369586,0.014369586
GeneralSector,DirectInvestment,Argentina,,,,0.012353761000000001,0.012353761000000001
GeneralSector,DirectInvestment,Australia,,,0.016607505,0.016607505,0.016607505
GeneralSector,DirectInvestment,Brazil,0.039220987,0.039220987,0.039220987,0.039220987,0.039220987
GeneralSector,DirectInvestment,Canada,0.022414787999999998,0.022414787999999995,0.022414787999999995,0.022414787999999995,0.022414787999999995
GeneralSector,DirectInvestment,China,,0.32227831100000004,0.32227831100000004,0.32227831100000004,0.32227831100000004
GeneralSector,DirectInvestment,European Union (28),,0.10242006199999999,0.10242006199999999,0.10242006199999999,0.10242006199999999
GeneralSector,DirectInvestment,India,,,0.09054632300000001,0.09054632300000001,0.09054632300000001
GeneralSector,DirectInvestment,Japan,,0.035390569,0.035390569,0.035390569,0.035390569
GeneralSector,DirectInvestment,Korea (South),,,0.017107928999999997,0.017107928999999997,0.017107928999999997
GeneralSector,DirectInvestment,Mexico,,,0.020242654,0.020242654,0.020242654
GeneralSector,DirectInvestment,United States of America,0.160210934,0.160210934,0.160210934,0.160210934,0.160210934
GeneralSector,FiscalorFinancialIncentives,Australia,0.016607505,0.016607505,0.016607505,0.016607505,0.016607504999999998
GeneralSector,FiscalorFinancialIncentives,Brazil,0.039220987,0.039220987,0.039220987,0.039220987,0.039220987
GeneralSector,FiscalorFinancialIncentives,Canada,0.022414787999999998,0.022414787999999998,0.022414788,0.022414788,0.022414788
GeneralSector,FiscalorFinancialIncentives,China,,,,0.32227831100000004,0.32227831100000004
GeneralSector,FiscalorFinancialIncentives,India,,,0.09054632300000001,0.09054632300000001,0.09054632300000001
GeneralSector,FiscalorFinancialIncentives,Indonesia,,,,0.057365393,0.057365393
GeneralSector,FiscalorFinancialIncentives,Korea (South),,0.017107928999999997,0.017107928999999997,0.017107928999999997,0.017107928999999997
GeneralSector,FiscalorFinancialIncentives,Mexico,,0.020242654,0.020242654,0.020242654,0.020242654
GeneralSector,FiscalorFinancialIncentives,Russian Federation,,,0.057211994,0.057211994,0.057211994
GeneralSector,FiscalorFinancialIncentives,South Africa,,0.014481323,0.014481323,0.014481322999999999,0.014481323
GeneralSector,FiscalorFinancialIncentives,United States of America,0.160210934,0.160210934,0.160210934,0.160210934,0.160210934
GeneralSector,Market-basedInstruments,Australia,,,,0.016607505,0.016607505
GeneralSector,Market-basedInstruments,Brazil,0.039220987,0.039220987,0.039220987,0.039220987,0.039220987
GeneralSector,Market-basedInstruments,China,,,,0.32227831100000004,0.32227831100000004
GeneralSector,Market-basedInstruments,European Union (28),,0.10242006199999999,0.10242006199999999,0.10242006199999999,0.10242006199999999
GeneralSector,Market-basedInstruments,India,,,0.09054632300000001,0.09054632300000001,0.09054632300000001
